AAS Photo Bulletin	AASPB
Soobshchenie Shemakhinskoj Astrofizicheskoj Observatorii	SoShe
Soobshcheniya Byurakanskoj Observatorii Akademiya Nauk Armyanskoj SSR Erevan	SoByu
Soobshcheniya Gosudarstvennogo Astronomicheskogo Instituta	SoSht
Soobshcheniya Spetsial'noj Astrofizicheskoj Observatorii	SoSAO
Soprotivlenie Materialov i Teoriia Sooruzhenii	SMTS
Sources and Studies in the History of Mathematics and Physical Sciences	SSHMP
Sources in the History of Mathematics and Physical Sciences	SHMPS
South African Astronomical Observatory Circular	SAAOC
South African Astronomical Observatory Republic	SAAOR
South African Journal of Physics	SAJPh
South African Journal of Science	SAJSc
Southern Skies	SouSt
Sovetskaia Antarkticheskaia Ekspeditsiia Informatsionnyi Biulleten	SAEIB
Soviet Aeronomii	SovAe
Soviet Astronomy	SvA
Soviet Astronomy Letters	SvAL
Soviet Journal of Nuclear Physics	SvJNP
Soviet Journal of Plasma Physics	SvJPP
Soviet Journal of Quantum Electronics	SvJQE
Soviet Physics Acoustics	SvPAC
Soviet Physics Astronomy	SvPhA
Soviet Physics Crystallography	SvPC
Soviet Physics Doklady	SPhD
Soviet Physics JETP	SJETP
Soviet Physics Semiconductors	SvPS
Soviet Physics Solid State	SvPSS
Soviet Physics Technical Physics	SvPTP
Soviet Physics Uspekhi	SvPhU
Soviet Scientific Reviews A Physics Reviews	SSRvA
Soviet Scientific Reviews C Mathematical Physics Reviews	SSRvC
Soviet Scientific Reviews D Physicochemical Biology Reviews	SSRvD
Soviet Scientific Reviews E Astrophysics and Space Physics Reviews	SSRvE
Soviet Technology Reviews	SvTRv
Space	Space
Space and Solar Power Review	SSPRv
Space Communication Broadcasting	SpCoB
Space Communications	SpCom
Space Education	SpEd
Space Markets	SpMar
Space Medicine Medical Engineering	SpMME
Space Policy	SpPol
Space Power	SpPow
Space Power Resources and Manufacturing Development	SPRMD
Space Research Bulgaria	SpRBu
Space Science Instrumentation	SSI
Space Science Reviews	SSRv
Space Technology Industrial and Commercial Applications	STICA
Space Weather	SpWea
Space World	SpWd
Space World U	SpWdU
Space World W	SpWdW
Space World Y	SpWdY
Spaceflight	SpFl
Spaceview	Spvw
Specola Astronomica Vaticana Annual Reports	VatAR
Specola Astronomica Vaticana Atlas Stellarum Variabilium	AtlSV
Specola Astronomica Vaticana Comunicazione	VatCo
Specola Astronomica Vaticana Miscellanea Astronomica	VatMA
Specola Astronomica Vaticana Ricerche Spettroscopiche	VatRS
Specola Astronomica Vaticana Richerche Astronomiche	VatRA
Spectrochimica Acta	AcSpe
Spectroscopy Letters	SpecL
Specula Regia Monachiensi Observationes astronomicae	SRMO
Speculations in Science and Technology	SScT
Spika	Spika
Sports Engineering	SpEng
Springer Tracts in Modern Physics	STMP
Springer Verlag Springer Series on Chemical Physics	SSCP
Springer Verlag Springer Series on Electrophysics	SSEp
Springer Verlag Springer Series on Group Geophysics Space Research	SSGSR
Springer Verlag Springer Series on Optical Sciences	SSOS
Springer Verlag Springer Series on Physics Chemistry Space	SVPCS
Springer Verlag Springer Series on Solid State Sciences	SSSSS
Springer Verlag Springer Series on Synergetics	SSSyn
Springer Verlag Springer Series on Wave Phenomena	SSWP
Sproul Observatory Reprints	SprRe
Srpska Akademiia Nauka i Umetnosti Glas Odeljenje Tekhnichkikh Nauka	SANUG
Star Sky	StSky
Statistics and Computing	StCom
Staub Reinhaltung Luft	StReL
Stephan Mueller Special Publication Series	SMSPS
Die Sterne	Stern
Sterne und Weltraum	S&W
Sternzeit Mitteilungen der Astrnomischen Vereinigungen Aachen	Sterz
Stevenage Herts England Peter Peregrinus Ltd IEE Electromagnetic Waves Series	IEWS
Steward Observatory Reprints	SteRe
Stochastic Analysis and Applications	SAA
Stochastics and Stochastics Reports	SSRp
Stockholms Observatoriums Annaler	StoAn
Stockholms Observatoriums Meddelande	StoMe
Stockholms Observatoriums Reports	StoOR
Strabismus	Strab
Strain	Strai
Strojarstvo	Stroj
Structural Optimization	StrOp
Studia Astronomica Sinica	SASn
Studia Biophysica	StBio
Studia Geophysica et Geodaetica	StGG
Studia Societatis Scientiarum Torunensis Sectio F Astronomia	SSTor
Studies in the History and Philosophy of Modern Physics	StHPM
Studies in the History of Mathematics and the Physical Sciences	StHMP
Studies in Applied Mathematics	StAM
Studies in Condensed Matter Physics	SCMP
Studies in Geophysical Optics and Remote Sensing	SGORS
Studies in Geophysics	StGeo
Studies in High Energy Physics	StHEP
Studies in High Energy Physics Cosmology and Gravitation	StHCG
Studies in Mathematical Physics	StMaP
Studies in Physical and Theoretical Chemistry	StPTC
Studies in turbulence	Sttur
Studii si Cercetari de Astronomie Bucuresti	SCA
Studii si Cercetari de Fizica	StCeF
Studii si Cercetari Matematice	StCeM
Studii si Cercetary de Mecanica Aplicata	StCMA
Sunworld	Sunwo
Superconductor Science Technology	SuScT
Superlattices and Microstructures	SuMi
Supplementband zu den Annalen der Munchener Sternwarte	AnMuS
Supplements aux Annales d'Astrophysique	SAnAp
Surface and Coatings Technology	SuCT
Surface and Interface Analysis	SurIA
Surface Review and Letters	SRL
Surface Reviews and Letters	SuRvL
Surface Science	SurSc
Surface Science Reports	SurSR
Surface Science Spectra	SurSS
Surveys in Geophysics	SGeo
Surveys in High Energy Physics	SHEP
Svarochnoe Proizvodstvo	SvPro
Sverdlovsk Ural skii Nauchnyi Tsentr AN SSSR	SvUNT
Sydney Observatory Papers	SydOP
Synthetic Metals	SynMe
Systems Analysis Modelling Simulation	SAMS
Systems Technology	SyTec
Tagung ueber Mathematische Probleme Geodaesie Oberwolfach West Germany Bulleting Geodesique	TMPGO
Tartu Akademiia Nauk Estonskoi SSR	TANEs
Tartu Astrofuusika Observatoorium Teated	TarOT
Tartuskoj Astrofizicheskoj Observatorii Preprint	TarPr
Tashkent Izdatel Fan	IzTas
Tbilisi Georgian SSR Izdatel Metsniereba	IzGeo
Tbilisi Izdatel Sabchota Sakartvelo	TIzSS
Technical News	TecN
Technical Physics Letters	TePhL
Technika Lotnicza i Astronautyczna	TeLoA
Techniques of Biochemical and Biophysical Morphology	TBBM
Techniques of Physics	TPhy
Technisch oekonomische Informationen zivilen Luftfahrt	ToIzL
Technische Mitteilungen Krupp Forschungsberichte	TMKF
Technische Univ Geodesy Global Geodyn	TUnGG
Technology	Tech
Technology and Culture	TeCu
Technology Review	TecRv
Tectonics	Tecto
Tectonophysics	Tectp
Tekhnicheskaia Elektrodinamika	TekEl
Telecommunication Journal of Australia	TJAu
Telecommunications and Data Acquisition Progress Report	TDAPR
Telecommunications and Mission Operations Progress Report	TMOPR
Telecommunications and Radio Engineering Telecommunications	TRET
Telematics Informatics	TelIn
Telettra S	Telet
Tellus	Tell
Tellus Series A	TellA
Tellus Series B Chemical and Physical Meteorology B	TellB
Tellus Series Dynamic Meteorology and Oceanography	TSDMO
Teoreticheskaia Elektrotekhnika	TeoEl
Teoreticheskaia i Prikladnaia Mekhanika	TeoPM
Teoriia Funktsii Funktsional nyi Analiz i ikh Prilozheniia	TFFAP
Teoriia Veroiatnostei i ee Primeneniia	TeoVP
Teploenergetika	Teplo
Teplofizicheskie svoistva gazov	Tepsg
Teplofizika i Teplotekhnika	TepT
Teplofizika Vysokikh Temperatur	TepVT
Teploobmen i Fizicheskaia Gazodinamika	TFizG
Teplovye Napriazheniia Elementakh Konstruktsii	TNEK
La Termotecnica	LTerm
TESLA Electronics	Tesla
Teubner Texte zur Physik	TTPhy
Textures and Microstructures	TexMi
Theoretica Chimica Acta	AcTC
Theoretical and Applied Climatology	ThApC
Theoretical and Applied Fracture Mechanics	ThAFM
Theoretical and Computational Fluid Dynamics	ThCFD
Theoretical and Mathematical Physics	TMP
Theoretical Astrophysics	ThAst
Theory and Practice of Applied Geophysics	TPAG
Thin Solid Films	TSF
Thyssen Edelstahl Technische Berichte	TETB
Tiflis Izdatel Metsniereba Akademiia Nauk Gruzinskoi SSR Institut Geofiziki Trudy	TrTIM
Tiflis Izdatel Metsniereba Akademiia Nauk Gruzinskoi SSR Matematicheskii Institut Trudy	TrGru
Tiflis Izdatel Tbilisskogo Universiteta	IzTif
Tirada Aparte Universidad Nacional de Cordoba Argentina Observatorio Astronomico	CorTi
Tissue Engineering	TiEng
Tochnost i Nadezhnost Kiberneticheskikh Sistem	TNKS
Tohoku University Science Reports Series Geophysics	TSRSG
Tokyo Astronomical Bulletin	TokAB
Tokyo Astronomical Observatory Reprints	TokRe
Tokyo Denki University Faculty of Engineering Research Reports	TUFER
Tokyo Metropolitan College Aeronautical Engineering Memoirs	TAEMm
Tokyo University Faculty of Engineering Journal Series	TUFEJ
Tokyo University Institute Industrial Science Report	TUISR
Tokyo University Institute of Space and Aeronautical Science Bulletin	TUASB
Tokyo University Institute of Space and Aeronautical Science Report	TUASR
Tomsk Institut Optiki Atmosfery CO AN SSSR	TIOA
Top. Astrophys. Astron. Space Sci.	TApA
Topics in Applied Physics	TApPh
Topics in Catalysis	ToCat
Topics in Current Physics	TCPh
Topics in Physical Chemistry	TPhCh
Torino Accademia delle Scienze Classe di Scienze Fisiche Matematiche e Naturali Atti	ToASC
Toshiba Review	TosRv
Toulouse Cepadues Editions	TouCE
Transactions of the American Geophysical Union	TAGU
Transactions of the American Mathematical Society	TAMS
Transactions of the American Philosophical Society	TAPS
Transactions of the Astronomical Observatory of Yale University	TOYal
Transactions of the Institute of Measurement and Control	TIMC
Transactions of the International Astronomical Union	IAUT
Transactions of the International Union for Cooperation in Solar Research	TIUCS
Transactions of the Literary and Historical Society of Quebec	TLHSQ
Transactions of the Optical Society	TrOS
Transport in Porous Media	TPM
Transport Theory and Statistical Physics	TTSP
Travaux de la Societe des Sciences et des Letters de Wroclaw	TSSLW
Travaux de l'Observatoire de Marseille	TOMar
Travaux Geophysiques	TraGe
Trends in Theoretical Physics	TTP
Tribology Letters	TriL
Trudy Akademiia Nauk Litovskoi	TrLit
Trudy Akademiia Nauk SSSR Fizicheskii Institut	TrSSR
Trudy Astrofiz. Lab. Riga	TrRig
Trudy Astrofizicheskogo Instituta Alma-Ata	TrAlm
Trudy Astronomicheskoj Observatorii Leningrad	TrLen
Trudy Glavnoj Astronomicheskoj Observatorii v Pulkovo	TrPul
Trudy Gosudarstvennogo Astronomicheskogo Instituta	TrSht
Trudy Instituta Astrofiziki Dushanbe	TrDus
Trudy Instituta Astrofiziki Stalinabad	TrSta
Trudy Kazanskaia Gorodkoj Astronomicheskoj Observatorii	TrKaz
Trudy Moskovskoe Matematicheskoe Obshchestvo	TrMMO
Trudy Seminar imeni G Petrovskogo	TrPet
Trudy Tashkentskoj Astronomicheskoj Observatorii	TrTas
TsAGI Trudy	TrTsA
TsAGI Uchenye Zapiski	ZaTsA
TsIAM Trudy	TrTsI
Tsing Hua University Journal	TsHUJ
Tsirkulyar Astronomicheskogo Instituta Akademiya Nauk Uzbekskoj SSR	TITas
Tsirkulyar Shemakhinskoj Astrofizicheskoj Observatorii	TsShe
Tsirkulyar Stalinabadskoj Astronomicheskoj Observatorii	TsSta
Tsirkulyar Tashkentskoj Astronomicheskoj Observatorii	TsTas
Tsirkulyary Glavnoj Astronomicheskoj Observatorii i Pulkove	TsPul
Tuebingen Universitaet Astronomisches Institut Diplomarbeit	TUAID
Tuijin Jishu Journal of Propulsion Technology	TJJPT
Turbulentnye techeniia	TurTe
Turkish Journal of Physics	TJPh
U S Geological Survey Journal Research	UGSJR
Ukrainskii Fizicheskii Zhurnal	UkFiZ
Ukrainskii Matematicheskii Zhurnal	UkMaZ
Ukranian Mathematical Journal	UkMJ
Ultramicroscopy	Ultmi
Ultrasonic Imaging	UltIm
Ultrasonics	Ultra
Unified System Orbit Computation USOC	USOC
Unione Matematica Italiana Bollettino	UMIB
United Nations Programme on Space Applications	UNPSA
Universita di Napoli Aeritalia S	UNAer
Universitas Comeniana Acta Facultatis Rerum Naturalium Physica	UCAFR
Universite de Montpellier	UMt1K
University Electro Communications Bulletin	UECBu
University Electro Communications Reports	UnECR
University Observatory St. Andrews Scotland Reprints	StARe
University of Hawaii Reprints	HawRe
University of Illinois Astronomy Department Urbana Illinois	ADUrb
University of Michigan Observatory Reprints	MicRe
University of Minnesota 1969 (XXFD)	XXFD
University of Minnesota Minneapolis	LP
University of Oklahoma Observatory Reprints	OklRe
University of Texas Monographs in Astronomy	MAUTx
University of Texas Publications in Astronomy	PAUTx
Unpublished	Unpub
Updates in Applied Physics and Electrical Technology	UAPET
Uppsala Astronomical Observatory Annals	UppAn
Uppsala Astronomical Observatory Reports	UppOR
Upravliaiushchie Sistemy i Mashiny	USM
Urania	Urani
Urania Madrid	UrMad
U.S. Naval Observatory Circulars	USNOC
U.S. Naval Observatory Reports	USNOR
Uspekhi Fizicheskikh Nauk	UsFiN
Uspekhi Mekhaniki Advances Mechanics	UMAM
USSR Report Cybernetics Computers Automation Technology JPRS UCC	RpCCA
USSR Report Earth Sciences JPRS UES	RpESc
USSR Report Space	RpSpR
USSR Report Space Biology Aerospace Medicine JPRS USB	RpBAM
USSR Rept Electron Elec Eng JPRS UEE	RpEEE
USSR Rept Energy JPRS UEN	RpEn
USSR Rept Eng Equipment JPRS UEQ	RpEE
USSR Rept Life Sci Biomed Behavioral Sci JPRS	RLSBB
USSR Rept Machine Tools Metalworking Equipment JPRS UMM	RMTME
USSR Rept Mater Sci Met JPRS	RpMSM
USSR Rept Phys Math JPRS UPM	RpPhM
USSR Rept Space Biol Aerospace Med Jun JPRS	RSBAM
USSR Rept Space Biol Aerospace Med Sep	RpSBA
USSR Rept Transportation JPRS UTR	RpTr
Utilitas Mathematica	UtMat
Utrechtse Sterrekundige Overdrukken	UtrOv
Vacuum	Vacuu
Van Vleck Observatory Reprints	VVORe
Variable Star Observers League in Japan - Bulletin	VSOLB
Vatican Observatory Publications	VatOP
VDI Forschungsheft	VDIF
VDI Z	VDIZ
VDI Zeitschriften Fortschritt Berichte Reihe Stroemungstechnik	VDIZF
Vehicle System Dynamics	VSD
Veroeffentlichung der Wilhelm Foerster Sterwarte	VeWFS
Veroeffentlichungen der Badischen Sternwarte zu Heidelberg	VeHei
Veroeffentlichungen der Grossherzoglichen Sternwarte zu Karlsruhe	VeKar
Veroeffentlichungen der Remeis-Sternwarte zu Bamberg	VeBam
Veroeffentlichungen der Sternwarte Babelsberg	VeBab
Veroeffentlichungen der Sternwarte Munchen	VeMun
Veroeffentlichungen der Sternwarte Sonneberg	VeSon
Veroeffentlichungen der Universitaets-Sternwarte Kiel	VeKie
Veroeffentlichungen der Universitaets-Sternwarte Koenigsberg Pr.	VeKoe
Veroeffentlichungen der Universitaetssternwarte zu Berlin-Babelsberg	VeBB
Veroeffentlichungen der Universitaets-Sternwarte zu Goettingen	VeGoe
Veroeffentlichungen der Universitaets-Sternwarte zu Jena	VeJen
Veroeffentlichungen der Universitaetssternwarte zu Leipzig	VeLei
Veroeffentlichungen des Astronomischen Instituts der Ruhr-Universitaet Bochum	VeBoc
Veroeffentlichungen des Astronomischen Rechen-Instituts Heidelberg	VeARI
Veroeffentlichungen des Astronomischen Rechen-Instituts zu Berlin-Dahlem	VeABD
Veroeffentlichungen des Astronomisches Institute der Universitaet Bonn	VeBon
Veroeffentlichungen des Astronomisches Institute der Universitaet Frankfurt	VeFra
Veroeffentlichungen des Koeniglichen Astronomischen Rechen-Instituts zu Berlin	VeKAB
Veroffentlichungen des Zentralinstituts Physik der Erde	VeZPE
Verslag van den staat der Sterrewacht te Leiden	VeLdn
Vertica	Vert
Vertiflite	Vertf
Vestnik Khar'kovskogo Universiteta	VKha
Vestnik Kievskogo Universiteta Seriya Astronomii	VKie
Vestnik Moskovskogo Universiteta Seriya 3 Fizika Astronomiya	VeMos
Vibration Inst Shock Vibration Digest	VISBD
Vienna International Atomic Energy Agency	VIAEA
Vierteljahresschrift der Astronomischen Gesellschaft	VAG
Vierteljahrschrift für Gerichtliche Medizin und Öffentliches Sanitätswesen	VMed
Vierteljahrsschrift der Naturforschenden Gesellschaft in Zürich	VNG
Villanova University Observatory Contributions	VilCo
Vilnius Astronomijos Observatorijos Biuletenis	VilOB
Vilnius Izdatel Mokslas	IzVil
Virginia Journal of Science	VJS
Vissha Geodeziia	ViGeo
Vistas in Astronomy	VA
Vitro Technical Journal	VTJ
VizieR Online Data Catalog	yCat
VKI An Introduction to Computational Fluid Dynamics	VICFD
VKI An Introduction to Modeling Turbulence	VIMT
VKI Advanced Design of Ventilation Systems	VADVS
VKI Axial Flow Compressors	VAFC
VKI Boundary Layers in Turbomachines	VBLT
VKI Combined Cycles for Power Plants	VCCPP
VKI Computational Fluid Dynamics	VCFD
VKI Computational Fluid Dynamics for Industrial Flows	VCFDI
VKI Computer Graphics Flow Visualization and Computational Fluid Dynamics	VCGFV
VKI Gas Turbine Engine Transient Behaviour	VGTET
VKI Industrial Heat Exchangers	VIHE
VKI Laser Velocimetry	VKILV
VKI Measurement and Techniques	VKIMT
VKI Measurement Techniques in Aerodynamics	VMTA
VKI Methodology Hypersonic Testing	VMHT
VKI Modeling and Applications of Transport Phenomena in Porous Media	VMATP
VKI New Approaches in the Description and Modeling of Turbulence	VADMT
VKI Numerical Grid Generation	VNGG
VKI Numerical Methods for Flows in Turbomachinery	VNMFT
VKI Particle Image Displacement Velocimetry	VPIDV
VKI Radial Turbines	VKIRT
VKI Spacecraft Propulsion	VKISP
VKI Turbulent Shear Flows	VTSF
VKI Vibration Rotor Dynamics	VVRD
VLSI Design	VLSID
Voies Aviation Civile Fall Winter	VAC
Voprosy Atomnoi Nauki i Tekhniki Seriia Fizika Plazmy i Problemy Upravliaemykh Termoiadernykh Reaktsii	VANTS
Voprosy Dinamiki i Prochnosti	VopDP
Voprosy Elektroniki Tverdogo Tela	VETT
Voprosy Gidrodinamiki Atmosfery	VopGA
Voprosy Kibernetiki	VopK
Voprosy Metrologicheskogo Obespecheniia Izmereniia Parametrov Tekhnologicheskikh Lazerov	VMOIP
Voprosy Teorii Atomnykh Stolknovenii	VoTAS
Voprosy Teorii Plazmy	VopTP
Voprosy Teorii Sistem Avtomaticheskogo Upravleniia	VTSAU
Vossische Zeitung	VossZ
Vsesoiuznaia Konferentsiia Kosmicheskim Lucham Yakutsk USSR Akademiia Nauk SSSR Izvestiia Seriia Fizicheskaia	IzYak
Vsesoiuznaia Konferentsiia Kosmicheskim Lucham Yerevan Armenian SSR Aademiia Nauk SSSR Izvestiia Seriia Fizicheskaia	IzYer
Vsesoiuznyi Simpozium Difraktsii i Rasprostraneniiu Voln Lvov Ukrainian SSR Radiofizika	RaUkr
Vychislitel naia i Prikladnaia Matematika	VnPM
Vychislitel nye Metody i Programmirovanie	VnMP
Vyssha Geodeziia	VyGeo
Waerme und Stoffuebertragung	W&S
Warsaw University Reprints	WarRe
Washburn Observatory Astrophysics	WasOA
Washington DC American Geophysical Union Geophysical Monograph Series	GMS
Water Resources Research	WRR
Wave Electronics	WavEl
Wave Motion	WaMot
Waves Random Media	WRM
Wear	Wear
Wear B	WearB
Weather	Wthr
Weight Engineering	WeiEn
Welding Journal	WeldJ
Die Weltall	Welt
WGN, Journal of the International Meteor Organization	JIMO
Williamstown Observatory Observations	WilOO
Wind Energy	WiEn
Wind Engineering	WiEng
Wissenschaftliche Berichte AEG Telefunken	WisBT
Wissenschaftliche Zeitschrift	WisZe
Wroclaw Astronomical Observatory Reprints	WroRe
Wuli	Wuli
Yale University Observatory Reports for the year	YalOY
Yamaguchi University Faculty of Engineering Memoirs	YUFEM
Yamaguchi University Technology Reports	YUTR
Zagadnienia Drgan Nieliniowych	ZaDN
Zavodskaia Laboratoriia	ZaLab
Zeitschrift Angewandte Mathematik und Mechanik	ZaMM
Zeitschrift Angewandte Mathematik und Physik	ZaMP
Zeitschrift der Fachsektion Hydrogeologie in der Deutschen Geologischen Gesellschaft	ZFHDG
Zeitschrift elektrische Informations und Energietechnik	ZeIE
Zeitschrift fur Angewandte Geographie	ZAGeo
Zeitschrift fur Angewandte Physik	ZAPhy
Zeitschrift fur Anorganische und Allgemeine Chemie	ZAAC
Zeitschrift fur Astrophysik	ZA
Zeitschrift fur Eisenbahnwesen und Verkehrstechnik Glasers Annalen	ZEVGA
Zeitschrift fur Flugwissenschaften	ZFlu
Zeitschrift fur Flugwissenschaften und Weltraumforschung	ZFlWe
Zeitschrift fur Geophysik	ZGeo
Zeitschrift fur Gletscherkunde und Glazialgeologie	ZGlGl
Zeitschrift fur Kristallographie	ZKri
Zeitschrift fur Metallkunde	ZMetl
Zeitschrift fur Meteorologie	ZeMet
Zeitschrift fur Physik	ZPhy
Zeitschrift fur Physik A Hadrons and Nuclei	ZPhyA
Zeitschrift fur Physik B Condensed Matter	ZPhyB
Zeitschrift fur Physik C Particles and Fields	ZPhyC
Zeitschrift fur Physik D Atoms Molecules Clusters	ZPhyD
Zeitschrift fur Physikalische Chemie	ZPC
Zeitschrift fur Physikalische Chemie Frankfurt	ZPCF
Zeitschrift fur Physikalische Chemie Leipzig	ZPCL
Zeitschrift fur Physikalische Chemie Neue Folge	ZPCNF
Zeitschrift fur Physikalische Chemie Wiesbaden	ZPCW
Zeitschrift für Elektrochemie und Angewandte Physikalische Chemie	ZEAPC
Zeitschrift für Mathematik und Physik	ZMP
Zeitschrift Naturforschung Teil A	ZNatA
Zeitschrift Naturforschung Teil B	ZNatB
Zeitschrift Physik	ZeiPh
Zeitschrift Physik Atomic Nuclei	ZePAN
Zeitschrift Werkstofftechnik	ZWer
Zemlia i Vselennaia	ZemVs
Zenit	Zenit
Zentralinstitut fuer Astrophysik Mitteilungen des Karl-Schwarzschild-Observatoriums Tautenburg	MiTau
Zentralinstitut fuer Astrophysik Sternwarte Sonneberg Mitteilungen ueber Veraenderliche Sterne	MitVS
ZhETF Pis ma Redaktsiiu	ZhPmR
Zhurnal Eksperimental noi i Teoreticheskoi Fiziki	ZhETF
Zhurnal Fizicheskoi Khimii	ZhFK
Zhurnal Nauchnoi i Prikladnoi Fotografii i Kinematografii	ZNPFK
Zhurnal Physik	ZhPhy
Zhurnal Prikladnoi Spektroskopii	ZhPS
Zhurnal Tekhnicheskoi Fiziki	ZhTFi
Zhurnal Vychislitel noi Matematiki i Matematicheskoi Fiziki	ZVMMF
Ziran Zazhi	ZiZa
Zpravodaj VZLU	Zprav

